ID,TIPOHABITACION,CAPACIDAD,IDVIVIENDAUNIVERSITARIA
213857,individual,3,5102
213858,individual,2,8956
213859,compartido,2,19096
213860,compartido,2,4242
213861,compartido,2,3914
213862,compartido,1,11425
213863,compartido,2,5262
213864,compartido,3,17165
213865,individual,2,9714
213866,compartido,3,15160
213867,compartido,2,13509
213868,compartido,1,17616
213869,individual,4,15078
213870,individual,1,14801
213871,individual,3,19387
213872,individual,3,8810
213873,compartido,4,19785
213874,individual,2,4564
213875,compartido,3,7586
213876,individual,2,13033
213877,compartido,1,1836
213878,individual,1,6966
213879,compartido,2,15945
213880,individual,2,10135
213881,individual,1,3598
213882,individual,4,1176
213883,compartido,3,1591
213884,compartido,3,574
213885,individual,4,18727
213886,compartido,2,8179
213887,compartido,2,12525
213888,individual,4,18805
213889,individual,3,18044
213890,compartido,2,19500
213891,compartido,2,18051
213892,individual,2,628
213893,compartido,1,19815
213894,individual,4,2070
213895,compartido,1,10699
213896,compartido,3,4319
213897,compartido,3,11157
213898,compartido,3,680
213899,individual,4,8982
213900,individual,2,7102
213901,compartido,4,7644
213902,individual,2,5058
213903,compartido,4,9038
213904,individual,1,12003
213905,individual,3,7529
213906,compartido,4,5933
213907,compartido,2,6376
213908,compartido,2,7828
213909,individual,1,4623
213910,individual,1,13043
213911,compartido,1,10669
213912,compartido,2,2655
213913,compartido,2,6047
213914,compartido,4,8058
213915,individual,2,11718
213916,individual,3,5043
213917,individual,1,13649
213918,individual,1,5608
213919,individual,4,9630
213920,individual,4,1161
213921,compartido,2,5804
213922,compartido,1,9899
213923,individual,1,9684
213924,compartido,4,8234
213925,individual,1,6806
213926,compartido,1,7505
213927,individual,4,5278
213928,compartido,4,12542
213929,individual,4,6879
213930,individual,3,8649
213931,compartido,1,11138
213932,individual,2,2110
213933,compartido,2,9189
213934,individual,3,538
213935,compartido,2,10667
213936,compartido,2,5846
213937,compartido,4,1353
213938,individual,1,11611
213939,compartido,1,1296
213940,compartido,4,17343
213941,individual,3,19101
213942,compartido,4,6310
213943,individual,3,14736
213944,compartido,1,4643
213945,individual,2,5874
213946,compartido,4,19949
213947,compartido,1,2927
213948,individual,4,13942
213949,compartido,2,1116
213950,individual,3,2184
213951,compartido,1,3008
213952,compartido,4,11578
213953,individual,1,11958
213954,individual,3,13198
213955,compartido,2,12536
213956,compartido,4,6870
213957,individual,1,759
213958,individual,4,2348
213959,individual,2,8982
213960,compartido,1,14204
213961,compartido,1,19075
213962,compartido,4,1760
213963,compartido,2,2779
213964,individual,2,17609
213965,individual,1,16722
213966,compartido,1,14680
213967,compartido,3,16874
213968,individual,1,18290
213969,compartido,2,9728
213970,individual,3,18420
213971,compartido,4,9941
213972,individual,4,4109
213973,individual,4,7356
213974,individual,2,6120
213975,individual,3,15891
213976,individual,2,19474
213977,individual,1,13633
213978,individual,3,4958
213979,compartido,4,19973
213980,individual,3,7737
213981,compartido,1,9357
213982,compartido,2,18034
213983,individual,2,1525
213984,compartido,3,13765
213985,compartido,4,1421
213986,individual,4,6627
213987,individual,2,3970
213988,compartido,2,5975
213989,compartido,2,126
213990,individual,1,17299
213991,compartido,2,10159
213992,compartido,2,9777
213993,compartido,1,3809
213994,compartido,1,13258
213995,compartido,2,4499
213996,compartido,1,13138
213997,compartido,3,11572
213998,compartido,1,5309
213999,compartido,3,11141
214000,individual,1,21
214001,compartido,3,2716
214002,compartido,1,18204
214003,individual,2,8355
214004,compartido,1,17576
214005,compartido,4,3491
214006,individual,4,8433
214007,compartido,1,10778
214008,compartido,1,15534
214009,compartido,2,6792
214010,individual,1,726
214011,individual,1,4897
214012,individual,3,12004
214013,compartido,4,5409
214014,individual,4,4883
214015,individual,3,16666
214016,compartido,3,19141
214017,individual,4,12403
214018,compartido,1,9068
214019,compartido,4,17592
214020,compartido,3,3208
214021,individual,1,19562
214022,compartido,4,7057
214023,individual,1,8283
214024,individual,3,7017
214025,compartido,1,15048
214026,individual,3,3342
214027,compartido,1,4348
214028,compartido,1,11917
214029,compartido,4,18044
214030,compartido,4,1447
214031,compartido,1,14982
214032,compartido,3,5799
214033,individual,4,11577
214034,individual,4,14982
214035,compartido,2,13847
214036,compartido,1,10384
214037,individual,3,637
214038,individual,4,12009
214039,compartido,4,4818
214040,individual,4,1303
214041,individual,2,18766
214042,compartido,3,2760
214043,individual,1,757
214044,individual,3,305
214045,compartido,4,4801
214046,individual,3,15890
214047,individual,2,579
214048,individual,2,13709
214049,individual,1,6054
214050,compartido,4,1200
214051,individual,4,1877
214052,compartido,2,18931
214053,individual,4,12556
214054,individual,4,1896
214055,compartido,4,7649
214056,compartido,3,14003
214057,individual,4,7747
214058,individual,2,18857
214059,individual,2,18957
214060,compartido,1,13626
214061,compartido,4,12785
214062,compartido,2,654
214063,compartido,4,16493
214064,compartido,4,2115
214065,individual,4,2540
214066,individual,1,5779
214067,compartido,2,17480
214068,compartido,4,5837
214069,individual,1,10079
214070,compartido,1,4230
214071,individual,4,4242
214072,compartido,1,19589
214073,individual,3,6308
214074,compartido,4,10619
214075,individual,3,9278
214076,individual,3,4390
214077,compartido,1,13273
214078,individual,2,18500
214079,individual,2,14013
214080,compartido,4,15808
214081,individual,3,16032
214082,individual,3,9862
214083,individual,1,12506
214084,compartido,3,9021
214085,compartido,1,9122
214086,individual,2,2792
214087,compartido,1,16351
214088,individual,3,2185
214089,individual,3,1833
214090,compartido,4,19517
214091,individual,2,15741
214092,individual,1,8913
214093,compartido,2,1607
214094,individual,3,16744
214095,individual,1,14023
214096,individual,4,7138
214097,individual,4,5191
214098,individual,4,6221
214099,compartido,4,16428
214100,compartido,4,4679
214101,compartido,3,5322
214102,compartido,3,5465
214103,compartido,1,10351
214104,compartido,4,13300
214105,individual,4,9422
214106,compartido,2,8239
214107,individual,3,12668
214108,individual,3,15114
214109,compartido,1,8053
214110,compartido,4,18850
214111,compartido,3,4859
214112,individual,3,16509
214113,individual,4,19162
214114,individual,3,15998
214115,compartido,3,15808
214116,individual,3,2238
214117,compartido,2,8291
214118,compartido,3,4396
214119,individual,3,2506
214120,compartido,3,18000
214121,individual,1,14654
214122,individual,3,19111
214123,individual,4,8763
214124,individual,4,6041
214125,individual,1,11156
214126,individual,3,9225
214127,individual,3,7079
214128,individual,1,6059
214129,compartido,4,14030
214130,individual,3,14468
214131,compartido,1,14294
214132,compartido,2,6855
214133,compartido,3,7703
214134,individual,4,10123
214135,compartido,3,1047
214136,individual,2,12892
214137,compartido,2,12734
214138,individual,2,15568
214139,individual,3,4328
214140,compartido,4,12318
214141,compartido,3,16265
214142,compartido,4,7220
214143,individual,4,10
214144,compartido,2,12013
214145,compartido,1,19163
214146,compartido,1,11363
214147,compartido,2,8565
214148,individual,3,11182
214149,individual,3,2687
214150,individual,2,11178
214151,compartido,4,12288
214152,individual,4,701
214153,individual,1,15755
214154,compartido,1,15836
214155,compartido,3,14908
214156,individual,2,8764
214157,individual,4,5588
214158,individual,4,15132
214159,compartido,1,4896
214160,compartido,1,13578
214161,compartido,3,5834
214162,compartido,4,2398
214163,compartido,2,12205
214164,individual,2,13796
214165,compartido,1,10911
214166,compartido,3,8235
214167,compartido,2,6222
214168,compartido,1,10232
214169,compartido,4,9641
214170,compartido,4,15911
214171,compartido,3,10643
214172,compartido,4,18134
214173,compartido,3,15153
214174,compartido,4,6915
214175,compartido,3,17141
214176,compartido,1,17340
214177,compartido,1,1220
214178,individual,2,1682
214179,compartido,2,8279
214180,compartido,3,3336
214181,individual,2,9714
214182,individual,4,12189
214183,compartido,2,4708
214184,individual,4,4703
214185,compartido,2,15408
214186,compartido,3,7051
214187,compartido,3,11928
214188,individual,1,15988
214189,individual,3,9911
214190,compartido,2,11299
214191,compartido,1,1371
214192,individual,2,17642
214193,compartido,1,13886
214194,individual,1,19767
214195,individual,3,14176
214196,individual,3,12530
214197,individual,3,13366
214198,individual,2,10467
214199,compartido,3,11641
214200,compartido,3,10965
214201,compartido,4,8803
214202,individual,4,12210
214203,compartido,1,3019
214204,individual,3,7495
214205,compartido,4,4673
214206,individual,4,13349
214207,compartido,1,11826
214208,individual,3,17250
214209,compartido,2,11756
214210,compartido,1,5792
214211,individual,3,6227
214212,individual,1,8846
214213,individual,1,7924
214214,compartido,2,955
214215,individual,3,12445
214216,compartido,3,9673
214217,individual,4,3465
214218,compartido,4,11610
214219,individual,2,7273
214220,individual,4,13464
214221,compartido,4,3455
214222,individual,3,18857
214223,individual,1,19627
214224,individual,3,873
214225,compartido,3,3149
214226,individual,2,18458
214227,individual,4,5914
214228,compartido,1,2808
214229,compartido,1,10601
214230,individual,2,14171
214231,individual,4,13875
214232,individual,2,2788
214233,compartido,1,16061
214234,compartido,4,8093
214235,compartido,1,548
214236,individual,3,10836
214237,individual,2,10536
214238,compartido,2,4874
214239,compartido,2,15729
214240,compartido,3,15471
214241,individual,3,11057
214242,compartido,2,4163
214243,individual,1,6123
214244,compartido,1,14082
214245,compartido,1,6575
214246,compartido,4,14447
214247,individual,1,9695
214248,individual,1,3913
214249,individual,4,19568
214250,compartido,4,867
214251,compartido,3,8281
214252,compartido,2,11794
214253,individual,4,9890
214254,compartido,1,2247
214255,individual,1,18915
214256,individual,3,19942
214257,compartido,1,8657
214258,individual,1,14498
214259,compartido,3,7053
214260,compartido,1,16145
214261,individual,2,12692
214262,individual,4,14929
214263,individual,4,1253
214264,individual,1,8547
214265,individual,3,1850
214266,individual,1,15925
214267,individual,3,17629
214268,individual,4,10311
214269,individual,1,1961
214270,individual,4,3288
214271,compartido,4,18940
214272,compartido,3,16284
214273,individual,2,82
214274,individual,2,18236
214275,compartido,2,15812
214276,compartido,4,8102
214277,compartido,3,17284
214278,compartido,2,12608
214279,compartido,2,16523
214280,individual,1,3370
214281,compartido,4,1572
214282,individual,1,11067
214283,compartido,4,7841
214284,compartido,1,14844
214285,individual,2,10111
214286,compartido,2,12832
214287,compartido,3,19465
214288,compartido,3,10862
214289,compartido,2,2584
214290,compartido,1,14762
214291,compartido,1,8528
214292,compartido,4,17964
214293,compartido,4,9825
214294,compartido,1,1955
214295,compartido,4,12896
214296,compartido,2,1929
214297,individual,3,14817
214298,compartido,2,3525
214299,compartido,2,5226
214300,compartido,1,10216
214301,individual,2,9395
214302,individual,3,7430
214303,compartido,2,16153
214304,compartido,1,1038
214305,compartido,4,14832
214306,compartido,1,8165
214307,individual,2,2042
214308,compartido,4,11342
214309,individual,1,6617
214310,individual,2,4892
214311,individual,2,18335
214312,individual,3,16531
214313,compartido,1,9330
214314,compartido,1,15046
214315,compartido,4,2728
214316,individual,3,1895
214317,compartido,2,13148
214318,compartido,4,12826
214319,individual,2,12965
214320,individual,1,17755
214321,individual,4,8821
214322,compartido,4,12659
214323,compartido,4,656
214324,compartido,3,15370
214325,compartido,1,7832
214326,compartido,1,14315
214327,individual,1,315
214328,compartido,2,19573
214329,compartido,2,11106
214330,compartido,3,7565
214331,individual,3,8691
214332,compartido,1,18719
214333,individual,2,14810
214334,individual,2,6519
214335,compartido,1,6554
214336,compartido,2,14154
214337,compartido,1,35
214338,individual,1,18007
214339,individual,1,3513
214340,individual,2,11301
214341,individual,1,1352
214342,individual,1,5310
214343,individual,4,1038
214344,compartido,1,12626
214345,individual,4,14887
214346,compartido,4,14750
214347,compartido,2,10078
214348,compartido,1,2181
214349,individual,1,976
214350,compartido,1,394
214351,compartido,3,7354
214352,compartido,2,12823
214353,compartido,2,15065
214354,individual,3,2417
214355,individual,2,17326
214356,compartido,1,3642
214357,individual,3,14413
214358,compartido,2,9448
214359,compartido,3,18207
214360,individual,4,6058
214361,individual,2,16296
214362,compartido,2,3354
214363,compartido,2,8852
214364,individual,1,5273
214365,individual,2,13571
214366,compartido,3,4510
214367,individual,3,4534
214368,individual,3,14913
214369,individual,1,19351
214370,individual,3,7979
214371,individual,4,18252
214372,individual,3,5796
214373,individual,2,10853
214374,individual,4,9538
214375,individual,3,1440
214376,compartido,1,19836
214377,compartido,3,14724
214378,individual,1,16079
214379,individual,3,3709
214380,compartido,3,12654
214381,individual,4,5255
214382,compartido,4,16248
214383,compartido,4,15337
214384,compartido,1,18624
214385,compartido,4,9520
214386,individual,4,6253
214387,compartido,3,14070
214388,compartido,1,15473
214389,individual,1,19721
214390,individual,4,19700
214391,compartido,3,6959
214392,compartido,1,18291
214393,individual,4,12507
214394,compartido,1,3806
214395,individual,1,8034
214396,individual,2,19306
214397,compartido,2,15878
214398,individual,4,1720
214399,compartido,1,566
214400,individual,1,4657
214401,compartido,1,2468
214402,individual,2,7596
214403,individual,3,10138
214404,compartido,2,8556
214405,compartido,3,17837
214406,compartido,1,1814
214407,compartido,3,11252
214408,individual,2,9220
214409,individual,3,13932
214410,compartido,4,13485
214411,individual,1,2842
214412,individual,1,6987
214413,individual,2,12132
214414,individual,2,13506
214415,compartido,3,10346
214416,compartido,3,12325
214417,compartido,3,11515
214418,individual,3,10737
214419,compartido,3,11110
214420,individual,3,10312
214421,individual,3,6551
214422,individual,4,11544
214423,compartido,2,5167
214424,individual,4,2362
214425,individual,3,7722
214426,individual,2,10725
214427,individual,4,10214
214428,compartido,3,18920
214429,individual,2,12260
214430,individual,2,3248
214431,compartido,3,15966
214432,compartido,4,9935
214433,individual,1,12392
214434,individual,1,16126
214435,compartido,3,1048
214436,compartido,1,35
214437,compartido,3,1399
214438,compartido,3,4308
214439,individual,1,14689
214440,individual,3,13485
214441,individual,2,1489
214442,compartido,4,17384
214443,individual,4,13177
214444,individual,3,9301
214445,compartido,3,17954
214446,compartido,1,11719
214447,compartido,4,6759
214448,compartido,3,47
214449,compartido,1,6643
214450,compartido,1,2363
214451,individual,2,10641
214452,compartido,3,8573
214453,compartido,1,19504
214454,individual,4,694
214455,individual,1,7490
214456,compartido,3,18895
214457,individual,1,10720
214458,compartido,1,18694
214459,individual,3,6551
214460,compartido,1,17486
214461,compartido,1,3449
214462,individual,3,12198
214463,individual,4,14909
214464,compartido,3,10581
214465,compartido,3,18632
214466,compartido,4,14762
214467,individual,3,7478
214468,compartido,2,16811
214469,compartido,1,12686
214470,individual,1,7286
214471,individual,4,8756
214472,compartido,1,13722
214473,individual,1,16695
214474,compartido,1,8463
214475,compartido,1,3672
214476,compartido,4,17347
214477,compartido,1,8469
214478,individual,3,3182
214479,individual,3,6143
214480,individual,2,14443
214481,compartido,1,8337
214482,compartido,2,4254
214483,compartido,2,16802
214484,compartido,4,7222
214485,compartido,3,12934
214486,individual,2,2877
214487,individual,4,1687
214488,compartido,2,19287
214489,individual,1,11133
214490,compartido,4,191
214491,compartido,2,17069
214492,individual,4,2983
214493,compartido,4,13135
214494,compartido,4,16671
214495,individual,2,8627
214496,individual,3,3593
214497,compartido,3,9779
214498,individual,2,5168
214499,compartido,3,10697
214500,compartido,1,14111
214501,individual,4,891
214502,individual,4,2131
214503,compartido,3,3440
214504,compartido,1,19146
214505,compartido,4,13503
214506,individual,1,6708
214507,compartido,1,10480
214508,individual,1,11986
214509,individual,3,6906
214510,individual,4,13065
214511,individual,4,7817
214512,compartido,4,19828
214513,compartido,4,5663
214514,compartido,2,7733
214515,compartido,3,2305
214516,compartido,1,6534
214517,compartido,4,11957
214518,compartido,1,5868
214519,compartido,1,14841
214520,compartido,1,14778
214521,compartido,1,7012
214522,compartido,1,19939
214523,compartido,1,3683
214524,compartido,1,11768
214525,compartido,4,6808
214526,compartido,3,14797
214527,compartido,2,7198
214528,compartido,2,8755
214529,compartido,4,19782
214530,individual,4,5115
214531,individual,3,12229
214532,compartido,4,2137
214533,compartido,2,14931
214534,compartido,3,10161
214535,compartido,2,7250
214536,individual,4,383
214537,compartido,2,13536
214538,compartido,2,197
214539,individual,4,7783
214540,individual,1,7507
214541,individual,1,19409
214542,compartido,3,3744
214543,individual,4,6683
214544,individual,1,496
214545,compartido,3,5398
214546,individual,3,7314
214547,individual,2,10779
214548,individual,2,18517
214549,compartido,1,3943
214550,individual,2,2863
214551,compartido,1,2819
214552,compartido,4,18253
214553,individual,2,8820
214554,individual,3,6279
214555,compartido,3,9156
214556,individual,1,7712
214557,compartido,2,5260
214558,compartido,4,19316
214559,individual,2,4806
214560,individual,1,8956
214561,individual,4,19871
214562,individual,1,10285
214563,individual,4,468
214564,compartido,3,9596
214565,compartido,1,11010
214566,individual,1,17227
214567,compartido,4,13296
214568,individual,2,19458
214569,individual,3,16642
214570,individual,3,2554
214571,compartido,3,2474
214572,compartido,1,2980
214573,compartido,2,4202
214574,individual,1,5573
214575,compartido,4,1099
214576,individual,2,10304
214577,individual,4,1670
214578,compartido,3,3208
214579,compartido,3,747
214580,individual,1,3752
214581,compartido,2,16518
214582,compartido,3,849
214583,compartido,3,11373
214584,compartido,4,9472
214585,compartido,1,5145
214586,compartido,3,19583
214587,compartido,1,3506
214588,compartido,3,4999
214589,individual,1,13189
214590,compartido,4,3582
214591,individual,3,388
214592,individual,1,17583
214593,individual,2,15070
214594,individual,2,11311
214595,compartido,2,10058
214596,compartido,2,14598
214597,individual,1,10945
214598,individual,1,5496
214599,compartido,2,14134
214600,compartido,3,16405
214601,individual,4,4665
214602,compartido,4,8793
214603,individual,1,12909
214604,individual,3,5004
214605,individual,1,18211
214606,compartido,3,9148
214607,compartido,3,4850
214608,compartido,1,18672
214609,individual,3,11562
214610,individual,2,19944
214611,individual,4,14078
214612,compartido,4,16545
214613,compartido,1,18551
214614,compartido,3,8066
214615,compartido,2,3286
214616,compartido,3,1930
214617,individual,4,18153
214618,compartido,3,12500
214619,compartido,4,17758
214620,compartido,1,15220
214621,compartido,2,9184
214622,compartido,3,1495
214623,compartido,3,13442
214624,compartido,2,604
214625,compartido,3,16805
214626,compartido,4,6227
214627,compartido,2,11430
214628,individual,2,15940
214629,individual,2,14214
214630,individual,2,12417
214631,compartido,2,1738
214632,compartido,2,18016
214633,compartido,2,10873
214634,individual,4,16130
214635,individual,2,19635
214636,compartido,3,14319
214637,compartido,2,6272
214638,compartido,2,7199
214639,compartido,1,12824
214640,compartido,2,11017
214641,compartido,4,14137
214642,compartido,2,18850
214643,individual,2,3816
214644,compartido,2,2534
214645,individual,3,13860
214646,compartido,1,280
214647,compartido,2,4476
214648,compartido,1,5342
214649,individual,4,2948
214650,compartido,4,19323
214651,individual,3,18037
214652,individual,3,15925
214653,individual,1,11734
214654,compartido,1,10631
214655,individual,2,7091
214656,individual,2,220
214657,compartido,3,2620
214658,individual,4,6568
214659,individual,4,12250
214660,compartido,2,13818
214661,compartido,3,14526
214662,individual,3,9173
214663,individual,4,11237
214664,individual,3,13239
214665,individual,2,3929
214666,compartido,1,7684
214667,individual,1,3367
214668,compartido,1,17984
214669,compartido,2,10504
214670,compartido,4,6753
214671,individual,1,15316
214672,individual,1,17021
214673,individual,4,8189
214674,individual,4,12142
214675,individual,4,10359
214676,compartido,3,18029
214677,individual,2,16387
214678,compartido,1,18152
214679,compartido,1,5554
214680,individual,3,11130
214681,compartido,1,8186
214682,individual,2,5586
214683,compartido,3,12721
214684,individual,2,19286
214685,individual,2,9112
214686,compartido,4,1189
214687,individual,3,15208
214688,individual,1,5802
214689,compartido,2,5293
214690,compartido,1,16274
214691,individual,4,230
214692,individual,1,8780
214693,compartido,3,6995
214694,compartido,2,13226
214695,individual,4,10125
214696,individual,3,12302
214697,individual,4,6635
214698,individual,4,8784
214699,individual,2,14066
214700,individual,4,13078
214701,individual,4,1719
214702,compartido,1,17570
214703,compartido,2,14772
214704,compartido,1,12623
214705,compartido,4,7704
214706,individual,3,6379
214707,individual,3,4899
214708,compartido,2,11882
214709,compartido,1,1661
214710,individual,4,8945
214711,individual,2,18625
214712,compartido,2,5318
214713,compartido,3,1971
214714,individual,4,12788
214715,compartido,3,11038
214716,compartido,3,19075
214717,compartido,2,3667
214718,individual,1,7559
214719,individual,2,5605
214720,individual,1,285
214721,compartido,4,16248
214722,individual,2,14092
214723,compartido,2,2821
214724,individual,2,6170
214725,compartido,1,18052
214726,compartido,3,16930
214727,individual,4,10330
214728,individual,1,12630
214729,individual,1,7852
214730,individual,4,3716
214731,compartido,1,12447
214732,individual,2,6060
214733,individual,1,16187
214734,compartido,1,12523
214735,individual,1,13455
214736,compartido,2,14459
214737,compartido,2,12754
214738,compartido,2,1699
214739,individual,2,18117
214740,compartido,4,5943
214741,individual,2,3035
214742,compartido,2,6025
214743,individual,4,6345
214744,individual,2,9851
214745,compartido,3,12914
214746,compartido,4,6058
214747,compartido,1,17291
214748,compartido,3,9588
214749,individual,4,11961
214750,compartido,2,3307
214751,compartido,1,7731
214752,individual,2,3555
214753,individual,1,5792
214754,individual,1,6645
214755,compartido,2,15573
214756,individual,4,3032
214757,compartido,2,9536
214758,individual,2,2475
214759,compartido,1,7357
214760,individual,2,17049
214761,compartido,1,17494
214762,compartido,1,3656
214763,individual,4,16216
214764,compartido,3,5928
214765,compartido,3,11045
214766,individual,4,6004
214767,compartido,3,11137
214768,compartido,1,15095
214769,individual,1,3555
214770,individual,1,2572
214771,individual,4,7324
214772,compartido,2,18293
214773,individual,4,1243
214774,individual,3,12887
214775,compartido,4,10266
214776,compartido,2,9506
214777,individual,2,13343
214778,individual,3,9726
214779,compartido,2,9679
214780,compartido,3,10455
214781,individual,4,18710
214782,individual,1,15852
214783,compartido,1,1322
214784,compartido,1,2420
214785,individual,3,11359
214786,individual,3,2396
214787,individual,2,1177
214788,compartido,3,17035
214789,individual,1,13867
214790,compartido,2,6135
214791,compartido,2,16294
214792,compartido,3,3163
214793,compartido,4,10376
214794,individual,4,18703
214795,compartido,4,219
214796,individual,2,5529
214797,compartido,4,14194
214798,individual,2,13500
214799,compartido,3,2107
214800,compartido,3,1350
214801,compartido,3,18638
214802,compartido,2,1278
214803,individual,1,1309
214804,individual,1,11507
214805,individual,4,10006
214806,individual,3,14412
214807,compartido,1,2030
214808,individual,4,10940
214809,individual,1,5548
214810,individual,4,6413
214811,compartido,2,15224
214812,individual,1,14184
214813,compartido,3,14139
214814,individual,4,5919
214815,individual,2,13270
214816,individual,3,1526
214817,compartido,1,2221
214818,individual,4,16915
214819,individual,4,14292
214820,compartido,2,6232
214821,compartido,1,5165
214822,individual,4,17296
214823,compartido,2,7757
214824,compartido,3,15308
214825,compartido,4,7850
214826,individual,1,3528
214827,individual,1,13940
214828,compartido,1,6059
214829,compartido,2,2981
214830,individual,1,1614
214831,compartido,4,5868
214832,compartido,3,18205
214833,individual,2,13730
214834,individual,3,18607
214835,individual,3,18337
214836,compartido,3,12181
214837,compartido,4,17651
214838,individual,4,3165
214839,individual,3,4149
214840,compartido,4,13272
214841,individual,3,5607
214842,compartido,1,3108
214843,individual,1,7943
214844,compartido,3,19938
214845,individual,1,11661
214846,individual,2,13702
214847,compartido,1,3175
214848,compartido,4,5869
214849,compartido,3,5725
214850,individual,2,17783
214851,individual,2,17427
214852,compartido,3,14643
214853,individual,2,12936
214854,compartido,2,96
214855,individual,2,9132
214856,compartido,2,10361
214857,individual,3,10139
214858,compartido,3,8661
214859,compartido,2,7914
214860,individual,2,10233
214861,compartido,2,19849
214862,individual,1,2793
214863,compartido,1,15428
214864,individual,1,3414
214865,individual,4,19668
214866,individual,1,18837
214867,individual,1,10098
214868,compartido,1,8138
214869,compartido,1,11126
214870,compartido,1,18606
214871,individual,1,18067
214872,compartido,3,1819
214873,compartido,4,8565
214874,compartido,3,1044
214875,individual,4,8069
214876,individual,2,171
214877,compartido,3,14260
214878,compartido,4,15091
214879,individual,1,18388
214880,compartido,1,5536
214881,compartido,1,992
214882,compartido,3,16607
214883,compartido,1,3116
214884,compartido,2,19708
214885,individual,1,15872
214886,compartido,4,10612
214887,compartido,3,10013
214888,compartido,1,7076
214889,individual,3,3040
214890,individual,4,3064
214891,individual,1,8522
214892,individual,1,10770
214893,individual,4,17910
214894,compartido,4,4069
214895,individual,2,5439
214896,individual,2,3478
214897,individual,3,2059
214898,compartido,4,7206
214899,compartido,1,15190
214900,compartido,4,3998
214901,individual,4,13327
214902,individual,4,770
214903,individual,2,8052
214904,compartido,1,8169
214905,compartido,3,1426
214906,compartido,1,7494
214907,individual,2,12233
214908,individual,1,10182
214909,compartido,1,14880
214910,individual,1,6198
214911,individual,3,4690
214912,compartido,1,7517
214913,compartido,2,16041
214914,individual,2,5781
214915,compartido,3,12171
214916,individual,4,12663
214917,compartido,4,2592
214918,compartido,1,14047
214919,individual,3,19390
214920,individual,2,5231
214921,individual,4,17367
214922,compartido,3,8269
214923,individual,4,6095
214924,compartido,4,18122
214925,individual,3,16335
214926,individual,1,16064
214927,individual,1,19328
214928,individual,3,2095
214929,individual,1,499
214930,individual,3,17531
214931,individual,1,1355
214932,compartido,2,10105
214933,individual,2,12032
214934,compartido,2,19797
214935,compartido,2,11360
214936,individual,2,949
214937,individual,3,2795
214938,compartido,4,10156
214939,compartido,2,7483
214940,compartido,3,9086
214941,compartido,4,15278
214942,compartido,4,16881
214943,compartido,4,18428
214944,compartido,4,13483
214945,compartido,3,12278
214946,individual,4,7648
214947,individual,1,3728
214948,compartido,2,19585
214949,compartido,1,12063
214950,individual,3,3699
214951,compartido,4,9841
214952,individual,1,6954
214953,compartido,1,11568
214954,compartido,2,1439
214955,individual,1,10829
214956,individual,3,13335
214957,compartido,4,10817
214958,individual,2,10267
214959,compartido,1,6864
214960,compartido,1,4013
214961,compartido,3,3066
214962,individual,1,15376
214963,compartido,1,19394
214964,individual,1,9254
214965,individual,3,14279
214966,compartido,2,17957
214967,compartido,3,15863
214968,compartido,2,4422
214969,compartido,4,10779
214970,individual,1,12643
214971,compartido,2,6994
214972,compartido,3,4766
214973,individual,3,6390
214974,individual,4,3125
214975,individual,2,8716
214976,compartido,4,19908
214977,individual,2,3242
214978,compartido,3,2750
214979,compartido,4,605
214980,individual,4,15585
214981,individual,2,19483
214982,compartido,1,10946
214983,compartido,2,3945
214984,individual,4,3606
214985,compartido,4,16043
214986,individual,2,2665
214987,individual,2,13638
214988,individual,4,8551
214989,individual,3,9501
214990,individual,2,4447
214991,compartido,1,8187
214992,individual,2,19211
214993,individual,2,5699
214994,compartido,3,16928
214995,individual,3,13933
214996,individual,1,14645
214997,individual,4,19994
214998,compartido,1,606
214999,compartido,3,15203
215000,compartido,1,15672
215001,individual,1,17738
215002,compartido,2,2642
215003,compartido,3,15013
215004,individual,2,7416
215005,compartido,3,4508
215006,compartido,4,2264
215007,individual,1,5594
215008,individual,4,17872
215009,individual,4,5139
215010,compartido,4,6494
215011,compartido,3,10874
215012,individual,1,5995
215013,individual,1,18734
215014,compartido,4,17444
215015,individual,1,7870
215016,individual,4,7633
215017,compartido,1,9161
215018,compartido,1,5166
215019,compartido,1,15981
215020,individual,2,3511
215021,individual,4,3252
215022,compartido,3,14982
215023,individual,4,12999
215024,compartido,2,9266
215025,individual,2,1495
215026,compartido,1,3311
215027,individual,2,17776
215028,individual,3,17127
215029,individual,3,16540
215030,compartido,1,3769
215031,compartido,1,8602
215032,individual,4,10749
215033,compartido,3,6867
215034,compartido,2,4403
215035,compartido,3,4720
215036,compartido,3,7871
215037,compartido,1,9152
215038,compartido,2,11677
215039,individual,1,4618
215040,individual,1,6114
215041,individual,1,3021
215042,individual,2,8301
215043,individual,3,14516
215044,compartido,1,14706
215045,individual,3,5746
215046,individual,1,14556
215047,compartido,4,18308
215048,individual,2,10289
215049,compartido,1,1001
215050,individual,3,10349
215051,compartido,2,9317
215052,compartido,1,19305
215053,individual,1,737
215054,individual,1,5295
215055,compartido,2,10893
215056,compartido,2,17875
215057,compartido,2,2783
215058,individual,2,3719
215059,individual,1,10831
215060,individual,2,120
215061,individual,1,15720
215062,compartido,2,6939
215063,compartido,2,19270
215064,individual,3,11855
215065,individual,1,7372
215066,individual,1,11133
215067,compartido,1,5933
215068,individual,3,11230
215069,compartido,3,9640
215070,individual,1,14653
215071,individual,3,4335
